stock_code,consistency,ticker
SMGR,1.0,SMGR.JK
PGAS,1.0,PGAS.JK
PTBA,1.0,PTBA.JK
ADRO,1.0,ADRO.JK
ITMG,1.0,ITMG.JK
INTP,1.0,INTP.JK
INKP,1.0,INKP.JK
INDF,1.0,INDF.JK
INCO,1.0,INCO.JK
ICBP,1.0,ICBP.JK
TLKM,1.0,TLKM.JK
EXCL,1.0,EXCL.JK
TOWR,1.0,TOWR.JK
UNTR,1.0,UNTR.JK
CPIN,1.0,CPIN.JK
UNVR,1.0,UNVR.JK
BMRI,1.0,BMRI.JK
BBTN,1.0,BBTN.JK
BBRI,1.0,BBRI.JK
BBNI,1.0,BBNI.JK
BBCA,1.0,BBCA.JK
ASII,1.0,ASII.JK
ANTM,1.0,ANTM.JK
KLBF,1.0,KLBF.JK
MDKA,0.9090909090909091,MDKA.JK
BRPT,0.8181818181818182,BRPT.JK
TBIG,0.8181818181818182,TBIG.JK
MEDC,0.8181818181818182,MEDC.JK
ACES,0.7727272727272727,ACES.JK
GGRM,0.7727272727272727,GGRM.JK
AKRA,0.7727272727272727,AKRA.JK
JPFA,0.7272727272727273,JPFA.JK
